ADFG_Area,SASAPRegions
Bristol Bay,Bristol Bay
Chignik,Chignik
Cook Inlet Lower,Cook Inlet
Cook Inlet Upper,Cook Inlet
Juneau Hanies,Southeast
Ketchikan Craig,Southeast
Kodiak,Kodiak
"Kotzebue, Norton Sound",Kotzebue
Kuskokwim,Kuskokwim
North Peninsula,Alaska Peninsula and Aleutian Islands
PWS Copper Bering Rivers,Copper River
PWS Eastern District,Prince William Sound
PWS excluding CRBRED,Prince William Sound
South Peninsula,Alaska Peninsula and Aleutian Islands
Petersburg Wrangell,Southeast
Sitka Pelican,Southeast
Yakutat,Southeast
Yukon,Yukon
Dutch Harbor,Alaska Peninsula and Aleutian Islands
Adak Western Aleutians,Alaska Peninsula and Aleutian Islands
EEZ Gulf of Alaska,Statewide
EEZ Bering Sea,Statewide
