FisheryName,SASAP.Region
Adak District,Alaska Peninsula and Aleutian Islands
Beluga senior personal use fishery,Cook Inlet
China Poot dipnet fishery,Cook Inlet
Chitina Subdistrict (State data),Copper River
Cook Inlet Personal Use Fisheries,Cook Inlet
Juneau Management Area,Southeast
Kachemak Bay setnet fishery,Cook Inlet
Ketchikan Management Area,Southeast
Petersburg/Wrangell Management Area,Southeast
Sitka Management Area,Southeast
Southeast / Yakutat Region,Southeast
Upper Yentna Fishery,Cook Inlet
Yukon Management Area,Yukon
